"dvit","circ","ar","iPC1","iPC2","iPC3","oPC1","oPC2","oPC3","symPC1","symPC2","symPC3","symPC4","symPC5","A","B","C","r","Spri","S","lowSup","lowInf","highSup","highInf"
"DVIT_1052",0.221,1.12787,-18.4078,30.8189,-0.0531094,-101.568,17.2646,52.4014,0.107013,-0.005065,0.0249375,-0.00257375,-0.000645,0,3,6,3,3,3,3,1,4,3
"DVIT_1053",0.224,1.09512,9.16255,3.06095,5.44028,-14.7249,69.149,3.98474,-0.0193625,1.63e-05,0.0163185,0.0124475,-0.0159313,1,3,6,2,5,7,4,3,4,3
"DVIT_1059",0.208875,1.08075,4.99037,11.8178,18.9223,-39.3863,106.25,3.71387,0.0544375,0.0054625,0.0288838,0.00731575,0.0101012,1,4,6,3,3,5,5,2,5,2
"DVIT_1064",0.15725,1.0555,-13.8614,4.02713,4.92632,93.8498,5.72427,26.3588,0.00585,-0.0470213,-0.00184875,0.0205575,-0.012121,1,3,5,3,5,8,5,4,5,4
"DVIT_1065",0.225375,1.0765,1.68448,-3.37638,9.05406,-65.1469,103.501,10.799,0.0646188,-0.00632912,0.0185363,0.0365788,0.0100526,0,3,5,2,5,7,2,1,2,1
"DVIT_1066",0.27475,1.14837,31.775,12.4215,13.793,-96.2552,39.093,20.9608,0.02425,-0.0121345,0.0292125,-0.0028375,0.0127175,0,3,5,2,5,7,2,1,2,1
"DVIT_1075",0.349875,1.13975,9.26466,1.29954,9.66696,-175.051,-14.4473,-3.85617,0.133763,0.0365225,0.0305625,0.0210163,-0.0127538,0,2,5,2,5,8,1,0,3,1
"DVIT_1079",0.1865,1.0985,-0.663797,20.4536,18.4447,-27.3925,65.0505,42.2283,0.068575,-0.038025,0.0353975,-0.0096675,0.024235,1,3,6,3,5,8,4,3,4,3
"DVIT_1084",0.186875,1.10312,1.83073,-8.3075,-21.3547,-82.1488,-34.6299,14.009,-0.0056375,0.00362,-0.0486,-0.0253712,-0.00456625,1,3,6,3,5,7,4,3,6,4
"DVIT_1099",0.146375,1.06438,7.40081,21.723,-10.3764,77.4834,-76.2086,50.8074,-0.0530225,-0.02098,-0.00427125,-0.0133638,0.0042725,0,3,5,2,5,8,6,4,6,4
"DVIT_1121",0.291875,1.05088,-12.4194,0.244504,-0.343627,-137.319,120.984,-34.3205,0.06055,0.0181,-0.0273625,0.020485,0.0069325,1,4,6,3,6,8,3,1,3,1
"DVIT_1306",0.16125,1.06675,2.33471,10.9957,-1.74444,39.843,26.7742,31.0429,0.0279625,0.0260775,-0.003065,-0.0156988,-0.0209862,0,2,5,2,4,6,3,1,5,3
"DVIT_1308",0.212875,1.1035,0.435335,18.1048,-2.48463,-93.656,16.7832,35.3055,0.116663,0.0211556,0.0069775,0.006965,-0.006715,0,3,5,2,5,7,4,2,5,3
